id;type;year;location;region;num;area;num_floors;num_flats;persons_per_appartment;ex_heat_prim;cap_heat_prim;ex_heat_sec;cap_heat_sec;ex_sto;cap_sto;ex_dhw_sto;cap_dhw_sto;sup_temp;area_solar;cap_solar;ex_wall;ex_win;ex_roof;ex_pv;ex_dis;roofs;rad_area;ex_wall_u;ex_win_u;ex_roof_u;yearly_el_demand;wall_age;windows_age;roof_age;heat_age;dhw_age;solar_age;storage_age;rad_age
16;MFH;1990;Aachen;0;1;551;4;6;1.9;boi_gas;26;None;0;None;0;tes_dhw;None;60;40;0;1;1;2;0;rad_11;(-5:30:50);800x500;None;None;None;22648;2015;2010;2007;2011;None;None;None;1990
17;MFH;1988;Aachen;0;1;2015;6;24;2.5;boi_gas;96;None;0;None;0;tes_dhw;None;60;20;0;1;1;2;0;rad_11;(-5:30:50);800x500;None;None;None;112120;2002;2005;2008;2003;None;None;None;1988
18;MFH;1974;Aachen;0;1;1397;5;16;2.3;boi_gas;100;None;0;None;0;tes_dhw;None;60;0;0;1;1;2;0;rad_11;(-5:30:50);800x500;None;None;None;70056;2015;2011;1999;2008;None;None;None;1970
19;MFH;1953;Aachen;0;1;1067;4;13;2.8;boi_gas;76;None;0;None;0;tes_dhw;None;60;0;0;1;1;2;0;rad_11;(-5:30:50);800x500;None;None;None;66736;2000;2008;2012;2009;None;None;None;1970
20;MFH;1980;Aachen;0;1;850;5;10;2.3;boi_gas;40;None;0;None;0;tes_dhw;None;60;0;0;1;1;2;0;rad_11;(-5:30:50);800x500;None;None;None;43600;2009;2009;2009;2009;None;None;None;2017
21;MFH;2014;Aachen;0;1;1322;6;16;3.2;boi_gas;63;None;0;None;0;tes_dhw;None;60;20;0;1;1;2;0;rad_11;(-5:30:50);800x500;None;None;None;92496;2014;2014;2014;2014;None;None;None;2014
22;MFH;1981;Aachen;0;1;2434;8;29;2.1;boi_oil;175;None;0;None;0;tes_dhw;None;60;0;0;2;1;2;0;rad_11;(-5:30:50);800x500;None;None;None;116872;2002;2006;1997;2006;None;None;None;1981
23;MFH;1976;Aachen;0;1;436;4;5;2.6;boi_gas;31;None;0;None;0;tes_dhw;None;60;20;0;2;1;2;0;rad_11;(-5:30:50);800x500;None;None;None;24288;2013;2010;2009;2005;None;None;None;1970
24;MFH;1962;Aachen;0;1;1820;5;21;3.0;boi_gas;131;None;0;None;0;tes_dhw;None;60;20;0;2;1;2;0;rad_11;(-5:30:50);800x500;None;None;None;115360;2003;2006;2009;2001;None;None;None;1970
25;MFH;1955;Aachen;0;1;2444;7;29;2.3;boi_oil;175;None;0;None;0;tes_dhw;None;60;0;0;2;1;2;0;rad_11;(-5:30:50);800x500;None;None;None;126272;2015;1998;2013;2001;None;None;None;1970
26;MFH;1997;Aachen;0;1;1708;5;20;2.3;boi_gas;81;None;0;None;0;tes_dhw;None;60;20;0;2;1;2;0;rad_11;(-5:30:50);800x500;None;None;None;87264;2014;2006;1999;2007;None;None;None;1997
27;MFH;1978;Aachen;0;1;2435;8;29;1.9;boi_gas;116;None;0;None;0;tes_dhw;None;60;0;0;2;1;2;0;rad_11;(-5:30:50);800x500;None;None;None;107720;2009;2009;2009;2009;None;None;None;2017
28;MFH;1970;Aachen;0;1;520;4;6;2.3;boi_gas;24;None;0;None;0;tes_dhw;None;60;0;0;2;1;1;0;rad_11;(-5:30:50);800x500;None;None;None;26240;2009;2009;2009;2009;None;None;None;2017
29;MFH;1959;Aachen;0;1;1776;5;21;1.8;boi_oil;127;None;0;None;0;tes_dhw;None;60;0;0;2;1;1;0;rad_11;(-5:30:50);800x500;None;None;None;74688;2013;1998;2001;2008;None;None;None;1970
30;MFH;1962;Aachen;0;1;1671;6;20;2.4;boi_oil;120;None;0;None;0;tes_dhw;None;60;40;0;2;1;1;0;rad_11;(-5:30:50);800x500;None;None;None;90168;2012;2005;2001;1997;None;None;None;1970
31;MFH;1992;Aachen;0;1;1132;5;13;2.1;boi_gas;54;None;0;None;0;tes_dhw;None;60;0;0;2;1;1;0;rad_11;(-5:30:50);800x500;None;None;None;52736;2005;2014;1997;2003;None;None;None;1992
32;MFH;1977;Aachen;0;1;1165;3;14;1.9;boi_gas;83;None;0;None;0;tes_dhw;None;60;0;0;2;1;1;0;rad_11;(-5:30:50);800x500;None;None;None;51880;1999;2011;2010;2008;None;None;None;1970
33;MFH;1987;Aachen;0;1;2358;8;28;2.3;boi_gas;113;None;0;None;0;tes_dhw;None;60;40;0;2;1;1;0;rad_11;(-5:30:50);800x500;None;None;None;121904;2002;2014;2004;2003;None;None;None;1987
34;MFH;1973;Aachen;0;1;548;3;6;2.1;boi_gas;39;None;0;None;0;tes_dhw;None;60;0;0;2;1;1;0;rad_11;(-5:30:50);800x500;None;None;None;24544;2007;2001;2004;2005;None;None;None;1970
35;MFH;1998;Aachen;0;1;1633;5;19;2.1;boi_gas;78;None;0;None;0;tes_dhw;None;60;40;0;1;1;1;0;rad_11;(-5:30:50);800x500;None;None;None;76904;2004;2002;2003;2014;None;None;None;1998
36;MFH;1982;Aachen;0;1;2490;8;29;2.7;boi_gas;119;None;0;None;0;tes_dhw;None;60;40;0;1;1;1;0;rad_11;(-5:30:50);800x500;None;None;None;145200;2010;1999;2006;2012;None;None;None;1982
37;MFH;2005;Aachen;0;1;1240;5;15;2.5;boi_gas;59;None;0;None;0;tes_dhw;None;60;40;0;1;1;1;0;rad_11;(-5:30:50);800x500;None;None;None;69920;2005;2005;2005;2005;None;None;None;2005
38;MFH;2002;Aachen;0;1;435;3;5;1.9;boi_gas;20;None;0;None;0;tes_dhw;None;60;0;0;1;2;1;0;rad_11;(-5:30:50);800x500;None;None;None;18680;2002;2002;2002;2002;None;None;None;2002
39;MFH;1994;Aachen;0;1;2116;8;25;2.1;boi_gas;101;None;0;None;0;tes_dhw;None;60;20;0;1;2;1;0;rad_11;(-5:30:50);800x500;None;None;None;100928;2015;1999;2010;2003;None;None;None;1994
40;MFH;1955;Aachen;0;1;2152;7;25;3.0;boi_oil;154;None;0;None;0;tes_dhw;None;60;0;0;1;2;1;0;rad_11;(-5:30:50);800x500;None;None;None;137216;2011;2007;2013;2008;None;None;None;1970
41;MFH;1995;Aachen;0;1;1203;4;14;2.6;boi_gas;57;None;0;None;0;tes_dhw;None;60;40;0;1;2;1;0;rad_11;(-5:30:50);800x500;None;None;None;67864;2004;2014;2012;2001;None;None;None;1995
42;MFH;1962;Aachen;0;1;2372;7;28;2.7;boi_oil;170;None;0;None;0;tes_dhw;None;60;0;0;1;1;1;0;rad_11;(-5:30:50);800x500;None;None;None;140096;1997;2013;2006;1998;None;None;None;1970
43;MFH;1996;Aachen;0;1;1902;7;22;2.3;boi_gas;91;None;0;None;0;tes_dhw;None;60;0;0;1;1;1;0;rad_11;(-5:30:50);800x500;None;None;None;96216;2004;2015;2004;2000;None;None;None;1996
44;MFH;1972;Aachen;0;1;1132;4;13;2.0;boi_gas;81;None;0;None;0;tes_dhw;None;60;40;0;1;1;1;0;rad_11;(-5:30:50);800x500;None;None;None;50656;2012;1999;2006;2007;None;None;None;1970
45;MFH;1969;Aachen;0;1;1910;7;22;1.8;boi_gas;137;None;0;None;0;tes_dhw;None;60;0;0;1;1;1;0;rad_11;(-5:30:50);800x500;None;None;None;78680;2013;2004;2005;1999;None;None;None;1969
46;MFH;1953;Aachen;0;1;1805;6;21;3.0;boi_oil;129;None;0;None;0;tes_dhw;None;60;20;0;1;1;1;0;rad_11;(-5:30:50);800x500;None;None;None;115240;2003;1998;2003;2002;None;None;None;1970
47;MFH;2008;Aachen;0;1;1442;5;17;2.1;boi_gas;69;None;0;None;0;tes_dhw;None;60;40;0;1;1;1;0;rad_11;(-5:30:50);800x500;None;None;None;68656;2008;2008;2008;2008;None;None;None;2008
48;MFH;1955;Aachen;0;1;412;2;5;2.5;boi_gas;29;None;0;None;0;tes_dhw;None;60;0;0;1;1;1;0;rad_11;(-5:30:50);800x500;None;None;None;23296;2003;2008;2006;2015;None;None;None;1970
49;MFH;1965;Aachen;0;1;412;2;5;2.5;boi_gas;29;None;0;None;0;tes_dhw;None;60;0;0;1;1;1;0;rad_11;(-5:30:50);800x500;None;None;None;23296;2003;2008;2006;2015;None;None;None;1970
